term,level,parent,term_family,full_path
Biophysics,2,Physics,Science – general,Science – general > Physics > Biophysics
Aerospace biophysics,3,Biophysics,Science – general,Science – general > Physics > Biophysics > Aerospace biophysics
Biomagnetics,3,Biophysics,Science – general,Science – general > Physics > Biophysics > Biomagnetics
Cellular biophysics,3,Biophysics,Science – general,Science – general > Physics > Biophysics > Cellular biophysics
Molecular biophysics,3,Biophysics,Science – general,Science – general > Physics > Biophysics > Molecular biophysics
Dark energy,2,Physics,Science – general,Science – general > Physics > Dark energy
Entropy,2,Physics,Science – general,Science – general > Physics > Entropy
Fluid flow,2,Physics,Science – general,Science – general > Physics > Fluid flow
Fluid dynamics,3,Fluid flow,Science – general,Science – general > Physics > Fluid flow > Fluid dynamics
Hydraulic diameter,3,Fluid flow,Science – general,Science – general > Physics > Fluid flow > Hydraulic diameter
Hydrology,3,Fluid flow,Science – general,Science – general > Physics > Fluid flow > Hydrology
Pipelines,3,Fluid flow,Science – general,Science – general > Physics > Fluid flow > Pipelines
Valves,3,Fluid flow,Science – general,Science – general > Physics > Fluid flow > Valves
Geophysics,2,Physics,Science – general,Science – general > Physics > Geophysics
EMTDC,3,Geophysics,Science – general,Science – general > Physics > Geophysics > EMTDC
Extraterrestrial phenomena,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Extraterrestrial phenomena
Geodynamics,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Geodynamics
Geophysics computing,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Geophysics computing
Meteorology,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Meteorology
Moisture,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Moisture
Seismology,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Seismology
Surface waves,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Surface waves
Well logging,3,Geophysics,Science – general,Science – general > Physics > Geophysics > Well logging
High energy physics,2,Physics,Science – general,Science – general > Physics > High energy physics
Kinetic theory,2,Physics,Science – general,Science – general > Physics > Kinetic theory
Kinetic energy,3,Kinetic theory,Science – general,Science – general > Physics > Kinetic theory > Kinetic energy
Levitation,2,Physics,Science – general,Science – general > Physics > Levitation
Electrostatic levitation,3,Levitation,Science – general,Science – general > Physics > Levitation > Electrostatic levitation
Magnetic levitation,3,Levitation,Science – general,Science – general > Physics > Levitation > Magnetic levitation
Lorentz covariance,2,Physics,Science – general,Science – general > Physics > Lorentz covariance
Mechanical factors,2,Physics,Science – general,Science – general > Physics > Mechanical factors
Aerodynamics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Aerodynamics
Bending,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Bending
Biomechanics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Biomechanics
Damping,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Damping
Dynamics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Dynamics
Fatigue,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Fatigue
Force,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Force
Friction,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Friction
Hydrodynamics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Hydrodynamics
Kinematics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Kinematics
Lubrication,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Lubrication
Magnetohydrodynamics,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Magnetohydrodynamics
Photoelasticity,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Photoelasticity
Pressure effects,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Pressure effects
Shock (mechanics),3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Shock (mechanics)
Strain,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Strain
Stress,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Stress
Surface cracks,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Surface cracks
Surface stress,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Surface stress
Torque,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Torque
Vibrations,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Vibrations
Volume relaxation,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Volume relaxation
Workability,3,Mechanical factors,Science – general,Science – general > Physics > Mechanical factors > Workability
Network theory (graphs),2,Physics,Science – general,Science – general > Physics > Network theory (graphs)
Physics education,2,Physics,Science – general,Science – general > Physics > Physics education
Quantum mechanics,2,Physics,Science – general,Science – general > Physics > Quantum mechanics
Coherence time,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Coherence time
Density functional theory,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Density functional theory
Lagrangian functions,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Lagrangian functions
Proton effects,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Proton effects
Quantum capacitance,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum capacitance
Quantum cryptography,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum cryptography
Quantum decoherence,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum decoherence
Quantum entanglement,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum entanglement
Quantum information science,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum information science
Quantum key distribution,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum key distribution
Quantum optics,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum optics
Quantum simulation,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum simulation
Quantum state,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum state
Quantum system,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Quantum system
Relativistic quantum mechanics,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Relativistic quantum mechanics
Schrodinger equation,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Schrodinger equation
Stationary state,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Stationary state
Teleportation,3,Quantum mechanics,Science – general,Science – general > Physics > Quantum mechanics > Teleportation
